year,Base case diesel consumed,Modeled wind power
2019,211738.880136,195520.50939
2020,212946.756195,196728.385449
2021,214646.381945,198428.011199
2022,216328.778651,200110.407905
2023,217539.390803,201321.020057
2024,218898.309148,202679.938402
2025,220463.012379,204244.641633
2026,222209.575696,205991.20495
2027,224503.274808,208284.904063
2028,226273.33392,210054.963174
2029,228259.239155,212040.868409
2030,230324.925029,214106.554283
2031,232019.818164,215801.447418
2032,233787.918748,217569.548002
2033,235630.811946,219412.4412
2034,237252.046756,221033.67601
2035,238873.294484,222654.923738
2036,240347.328485,224128.957739
2037,242189.723297,225971.352551
2038,243737.352702,227518.981956
