year,annotation,diesel generation efficiency
2002,,12.26
2003,,12.11
2004,,12.68
2005,,12.95
2006,,15.2
2007,,15.46
2008,,14.18
2009,,14.45
2010,,14.73
2011,,13.64
2012,,13.69
2013,,13.48
2014,,13.45
2015,,13.77
2016,start of forecast,13.57
2017,,13.57
2018,,13.57
2019,,13.57
2020,,13.57
2021,,13.57
2022,,13.57
2023,,13.57
2024,,13.57
2025,,13.57
2026,,13.57
2027,,13.57
2028,,13.57
2029,,13.57
2030,,13.57
2031,,13.57
2032,,13.57
2033,,13.57
2034,,13.57
2035,,13.57
2036,,13.57
2037,,13.57
2038,,13.57
2039,,13.57
2040,,13.57
