year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,207553.09,2809.82,717258.03,211734.04
2018,209304.4,2829.6,717258.03,216058.09
2019,211738.88,2846.19,717258.03,219301.13
2020,212946.76,2864.63,717258.03,222544.17
2021,214646.38,2881.77,717258.03,225787.21
2022,216328.78,2898.58,717258.03,227949.23
2023,217539.39,2912.77,717258.03,231192.27
2024,218898.31,2926.61,717258.03,233354.3
2025,220463.01,2942.77,717258.03,236597.34
2026,222209.58,2961.36,717258.03,239840.38
2027,224503.27,2985.92,717258.03,244164.43
2028,226273.33,3004.46,717258.03,247407.47
2029,228259.24,3026.02,717258.03,251731.52
2030,230324.93,3047.96,717258.03,254974.56
2031,232019.82,3065.88,717258.03,258217.6
2032,233787.92,,,262541.65
2033,235630.81,,,265784.69
2034,237252.05,,,269027.73
2035,238873.29,,,271189.75
2036,240347.33,,,274432.79
