year,Base case cost,Modeled wind power
2019,580164.531573,797431.690664
2020,617545.592967,827397.941996
2021,648232.073473,851343.889976
2022,670619.213818,867661.915731
2023,687424.474936,878790.553606
2024,702663.572366,888604.724973
2025,718709.420355,899336.613887
2026,742179.982824,917187.382431
2027,761066.101601,930973.734672
2028,778380.268685,943291.481248
2029,801189.929433,960929.511366
2030,817653.483851,972734.194677
2031,839911.741752,990015.628909
2032,862677.420182,1007898.47638
2033,888328.161038,1028620.10897
2034,911047.859543,1046638.40467
2035,929217.115544,1060469.92937
2036,954178.894086,1080765.26142
2037,971180.79042,1093736.46161
2038,996885.77255,1114940.0052
