year,Base case diesel consumed,Modeled non-residential ashp
2017,192216.018614,134641.157337
2018,192216.018614,134641.157337
2019,192216.018614,134641.157337
2020,192216.018614,134641.157337
2021,192216.018614,134641.157337
2022,192216.018614,134641.157337
2023,192216.018614,134641.157337
2024,192216.018614,134641.157337
2025,192216.018614,134641.157337
2026,192216.018614,134641.157337
2027,192216.018614,134641.157337
2028,192216.018614,134641.157337
2029,192216.018614,134641.157337
2030,192216.018614,134641.157337
2031,192216.018614,134641.157337
