year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,192216.0,142205.457367
2018,192216.0,142205.457367
2019,192216.0,142205.457367
2020,192216.0,142205.457367
2021,192216.0,142205.457367
2022,192216.0,142205.457367
2023,192216.0,142205.457367
2024,192216.0,142205.457367
2025,192216.0,142205.457367
2026,192216.0,142205.457367
2027,192216.0,142205.457367
2028,192216.0,142205.457367
2029,192216.0,142205.457367
2030,192216.0,142205.457367
2031,192216.0,142205.457367
2032,,
2033,,
2034,,
2035,,
2036,,
