year,Base case cost,Modeled wind power
2019,641036.790437,997051.480472
2020,678656.80545,1018150.74289
2021,703985.194386,1029306.89934
2022,721408.245613,1034194.66457
2023,734740.871606,1035917.50377
2024,746018.892501,1036153.00495
2025,757268.735956,1036569.48421
2026,771924.918985,1039890.37276
2027,785117.440478,1042300.15787
2028,795956.362912,1042904.22699
2029,808449.144612,1044999.28939
2030,815605.432005,1042649.80865
2031,828992.847468,1045653.5938
2032,843607.547042,1050061.82474
2033,860158.663001,1056226.38952
2034,876653.424077,1062503.55396
2035,885170.838428,1062380.7337
2036,900851.584533,1068170.00527
2037,909286.031973,1068282.69679
2038,925198.459262,1074614.6639
