year,Base case cost,Modeled solar power (pv)
2016,420830.086381,446301.090064
2017,501967.028714,525511.340117
2018,560281.026269,582291.90347
2019,641036.790437,661190.028105
2020,678656.80545,697658.141616
2021,703985.194386,722048.454624
2022,721408.245613,738679.382124
2023,734740.871606,751300.056864
2024,746018.892501,761913.498629
2025,757268.735956,772514.35656
2026,771924.918985,786475.936425
2027,785117.440478,799019.935335
2028,795956.362912,809255.351957
2029,808449.144612,821129.180485
2030,815605.432005,827739.883368
2031,828992.847468,840507.175448
2032,843607.547042,854516.031257
2033,860158.663001,870446.508995
2034,876653.424077,886334.770925
2035,885170.838428,894372.776406
