year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,46418.13,5217.71,86673.68,27143.87
2018,46418.13,5216.67,86673.68,27143.87
2019,46418.13,5215.82,86673.68,27143.87
2020,46418.13,5215.01,86673.68,27143.87
2021,46418.13,5214.24,86673.68,27143.87
2022,46418.13,5213.59,86673.68,27143.87
2023,46418.13,5212.96,86673.68,26232.56
2024,46418.13,5212.4,86673.68,26232.56
2025,46418.13,5211.85,86673.68,26232.56
2026,46418.13,5211.32,86673.68,26232.56
2027,46418.13,5210.78,86673.68,26232.56
2028,46418.13,5210.24,86673.68,26232.56
2029,46418.13,5210.11,86673.68,26232.56
2030,46418.13,5210.03,86673.68,26232.56
2031,46418.13,5209.8,86673.68,26232.56
2032,46418.13,,,26232.56
2033,46418.13,,,26232.56
2034,46418.13,,,26232.56
2035,46418.13,,,26232.56
2036,46418.13,,,26232.56
