year,Base case cost,Modeled biomass for heat (cordwood)
2017,229800.788597,292722.518974
2018,256669.728597,311122.898926
2019,293939.548597,337248.233612
2020,312141.088597,349307.759111
2021,324275.448597,356913.905315
2022,333809.588597,362629.428217
2023,340743.508597,366453.577355
2024,345943.948597,369026.500968
2025,352877.868597,372911.007831
2026,360678.528597,377465.517889
2027,367612.448597,381407.586366
2028,372812.888597,384095.665584
2029,380613.548597,388733.510207
2030,384947.248597,390834.316732
2031,393614.648597,396165.394458
2032,,
2033,,
2034,,
2035,,
2036,,
