year,Base case cost,Modeled biomass for heat (pellet)
2017,229800.788597,273778.615109
2018,256669.728597,292280.392762
2019,293939.548597,318217.307928
2020,312141.088597,330566.957183
2021,324275.448597,338603.412088
2022,333809.588597,344799.505004
2023,340743.508597,349154.895535
2024,345943.948597,352287.54649
2025,352877.868597,356670.314171
2026,360678.528597,361684.586321
2027,367612.448597,366093.462889
2028,372812.888597,369278.346303
2029,380613.548597,374330.417475
2030,384947.248597,376921.321451
2031,393614.648597,382615.433749
2032,,
2033,,
2034,,
2035,,
2036,,
