year,Base case cost,Modeled water and wastewater efficiency
2017,28258.8945727,24204.3813305
2018,29882.0786998,25157.3521033
2019,32136.1729319,26523.3340114
2020,33234.2177403,27139.4211658
2021,33964.5046415,27518.5120379
2022,34537.8056888,27797.729183
2023,34953.6454672,27976.6867009
2024,35264.8447734,28089.7152395
2025,35681.0313331,28273.1570116
2026,36149.751361,28492.8329582
2027,36565.8310671,28680.2488365
2028,36876.857723,28801.2539194
2029,37348.2756689,29028.6510056
2030,37610.0640739,29121.508912
2031,38133.1398154,29386.1658495
