year,Base case diesel consumed,Modeled non-residential ashp
2017,13328.8036706,-2684.27910092
2018,13328.8036706,-2684.27910092
2019,13328.8036706,-2684.27910092
2020,13328.8036706,-2684.27910092
2021,13328.8036706,-2684.27910092
2022,13328.8036706,-2684.27910092
2023,13328.8036706,-2684.27910092
2024,15298.8343728,-714.248398699
2025,15298.8343728,-714.248398699
2026,15298.8343728,-714.248398699
2027,15298.8343728,-714.248398699
2028,15298.8343728,-714.248398699
2029,15298.8343728,-714.248398699
2030,15298.8343728,-714.248398699
2031,15298.8343728,-714.248398699
