year,Base case cost,Cold bay wind energy project,Modeled wind power
2019,810206.191107,996247.737805,1037059.17481
2020,867425.380003,1042553.25602,1068058.84122
2021,907018.445021,1073056.17033,1086835.27756
2022,939140.195756,1096966.18632,1100660.53812
2023,959149.833731,1110016.42646,1106039.72035
2024,977577.145057,1121791.7115,1110620.09752
2025,999590.865447,1136892.72297,1117839.01775
2026,1025944.66057,1156070.404,1128445.38555
2027,1046425.06114,1170050.73711,1135098.60245
2028,1065363.97409,1182786.18859,1140975.02661
2029,1089858.47972,1200617.61478,1150865.28795
2030,1106485.16123,1211438.07751,1155370.16796
2031,1133022.36071,1231327.70175,1167084.24321
2032,1162012.8719,1253580.6083,1180848.19422
2033,1189529.46549,1274644.10593,1193881.76688
2034,1220637.66584,1299016.20071,1209520.03512
2035,1239890.66803,1312755.26529,1216916.38049
2036,1269129.92602,1335627.96275,1231577.95628
2037,1288474.25912,1349635.23613,1239374.95474
2038,1319820.81088,1374599.53758,1255870.39268
