year,Base case cost,"Cold bay (unnamed stream, #4) -- unnamed creek, 3","Cold bay (unnamed stream, #2) -- unnamed creek, 2","Cold bay (russell creek, east branch downstream)"
2021,907018.445021,1329334.06078,980668.659738,1387872.74834
2022,939140.195756,1304474.80216,965921.183107,1360972.88762
2023,959149.833731,1279495.90122,950139.618285,1334187.51022
2024,977577.145057,1255439.62564,934972.907644,1308392.45482
2025,999590.865447,1231776.68382,920257.457444,1282958.25998
2026,1025944.66057,1209246.77085,906737.250583,1258623.82938
2027,1046425.06114,1187095.64393,893060.052838,1234799.74648
2028,1065363.97409,1165852.73895,880000.260715,1211948.45281
2029,1089858.47972,1145023.82968,867549.384194,1189442.50575
2030,1106485.16123,1124434.81032,854694.167109,1167338.91853
2031,1133022.36071,1104800.45007,843237.108456,1146053.67902
2032,1162012.8719,1086229.72066,832809.156108,1125827.5518
2033,1189529.46549,1068572.70689,823023.155362,1106576.19099
2034,1220637.66584,1051199.65573,813614.207028,1087569.82945
2035,1239890.66803,1033809.06771,803320.789528,1068771.28703
2036,1269129.92602,1017391.06375,794461.19916,1050805.74225
2037,1288474.25912,1000999.43919,784888.177239,1033057.57906
2038,1319820.81088,985680.514856,776976.063337,1016208.20479
2039,1343750.25288,970950.437296,769039.796837,1000104.38283
2040,1377231.57194,956717.005112,762074.174246,984355.265552
2041,1378766.37681,941258.089921,751830.921099,967933.686411
2042,1380812.7833,926709.066658,742375.317802,952444.561632
2043,1382347.58818,912037.397223,732677.691283,936854.824316
2044,1383882.39305,897745.56697,723243.324833,921666.443393
2045,1385417.19792,883824.673537,714066.048377,906870.012201
2046,1386952.00279,870266.023013,705139.836314,892456.344333
2047,1388486.80766,857061.125387,696458.804361,878416.468833
2048,1390021.61254,844201.689538,688017.206083,864741.624904
2049,1391044.81578,831168.016949,679297.828038,850911.655356
2050,1392579.62066,818975.404107,671318.393432,837941.408769
2051,1392579.62066,805569.722764,662027.143954,823776.319473
2052,1392579.62066,792478.23707,652953.658131,809943.22445
2053,1392579.62066,779693.58312,644092.832165,796434.342641
2054,1392579.62066,767208.56939,635439.681734,783242.075138
2055,1392579.62066,755016.17321,626989.339544,770359.001447
2056,1392579.62066,743109.536326,618737.052256,757777.874807
2057,1392579.62066,731481.961259,610678.177963,745491.618338
2058,1392579.62066,720126.907437,602808.183504,733493.320957
2059,1392579.62066,709037.987779,595122.642102,721776.233767
2060,1392579.62066,698208.964603,587617.230527,710333.76573
2061,1392579.62066,687633.746664,580287.72704,699159.480545
2062,1392579.62066,677306.385401,573130.008794,688247.092674
2063,1392579.62066,667221.071636,566140.049548,677590.463861
2064,1392579.62066,657372.132504,559313.917536,667183.599883
2065,1392579.62066,647754.02781,552647.772942,657020.646702
2066,1392579.62066,638361.347413,546137.86609,647095.887703
2067,1392579.62066,629188.808039,539780.535233,637403.740323
2068,1392579.62066,620231.249983,533572.204266,627938.75257
2069,1392579.62066,611483.634717,527509.381073,618695.600492
2070,1392579.62066,602941.041709,521588.655316,609669.084817
