year,Base case diesel consumed,Cold bay wind energy project,Modeled wind power
2019,196175.833198,174032.395066,128542.374125
2020,196250.085973,174106.647842,128616.626901
2021,196324.338749,174180.900617,128690.879676
2022,196472.8443,174329.406169,128839.385228
2023,196547.097076,174403.658944,128913.638003
2024,196695.602627,174552.164495,129062.143554
2025,196769.855403,174626.417271,129136.39633
2026,196918.360954,174774.922822,129284.901881
2027,197066.866505,174923.428373,129433.407433
2028,197289.624832,175146.1867,129656.165759
2029,197438.130383,175294.692252,129804.671311
2030,197586.635935,175443.197803,129953.176862
2031,197735.141486,175591.703354,130101.682413
2032,197957.899813,175814.461681,130324.44074
2033,198254.910915,176111.472783,130621.451843
2034,198477.669242,176334.23111,130844.210169
2035,198700.427569,176556.989437,131066.968496
2036,198923.185896,176779.747764,131289.726823
2037,199145.944223,177002.506091,131512.48515
2038,199368.70255,177225.264418,131735.243477
