year,Base case cost,Modeled solar power (pv)
2016,493988.865669,519558.676432
2017,605724.442428,629142.117723
2018,690277.563086,711955.471362
2019,810206.191107,829702.65541
2020,867425.380003,885618.431103
2021,907018.445021,924168.077021
2022,939140.195756,955371.50266
2023,959149.833731,974636.112065
2024,977577.145057,992360.856459
2025,999590.865447,1013638.05466
2026,1025944.66057,1039222.22565
2027,1046425.06114,1059024.47458
2028,1065363.97409,1077325.47211
2029,1089858.47972,1101123.96529
2030,1106485.16123,1117167.06868
2031,1133022.36071,1143014.79823
2032,1162012.8719,1171307.60826
2033,1189529.46549,1198165.68356
2034,1220637.66584,1228583.48338
2035,1239890.66803,1247300.66956
