year,annotation,Electricity price ($/kwh)
2002,,0.43
2003,,0.44
2004,,0.45
2005,,0.5
2006,,0.55
2007,,0.56
2008,,0.68
2009,,0.62
2010,,0.63
2011,,0.72
2012,,0.72
2013,,0.72
2014,,0.62
2015,,0.73
2016,start of forecast,0.47
2017,,0.52
2018,,0.55
2019,,0.59
2020,,0.62
2021,,0.63
2022,,0.64
2023,,0.65
2024,,0.66
2025,,0.66
2026,,0.67
2027,,0.68
2028,,0.69
2029,,0.7
2030,,0.7
2031,,0.71
2032,,0.72
2033,,0.73
2034,,0.74
2035,,0.75
2036,,0.76
2037,,0.77
2038,,0.78
2039,,0.79
2040,,0.8
