year,Base case diesel consumed,"Cold bay (unnamed stream, #4) -- unnamed creek, 3","Cold bay (unnamed stream, #2) -- unnamed creek, 2","Cold bay (russell creek, east branch downstream)"
2021,196324.338749,0.0,0.0,0.0
2022,196472.8443,148.505551247,148.505551247,148.505551247
2023,196547.097076,222.758326871,222.758326871,222.758326871
2024,196695.602627,371.263878119,371.263878119,371.263878119
2025,196769.855403,445.516653742,445.516653742,445.516653742
2026,196918.360954,594.02220499,594.02220499,594.02220499
2027,197066.866505,742.527756237,742.527756237,742.527756237
2028,197289.624832,965.286083108,965.286083108,965.286083108
2029,197438.130383,1113.79163436,1113.79163436,1113.79163436
2030,197586.635935,1262.2971856,1262.2971856,1262.2971856
2031,197735.141486,1410.80273685,1410.80273685,1410.80273685
2032,197957.899813,1633.56106372,1633.56106372,1633.56106372
2033,198254.910915,1930.57216622,1930.57216622,1930.57216622
2034,198477.669242,2153.33049309,2153.33049309,2153.33049309
2035,198700.427569,2376.08881996,2376.08881996,2376.08881996
2036,198923.185896,2598.84714683,2598.84714683,2598.84714683
2037,199145.944223,2821.6054737,2821.6054737,2821.6054737
2038,199368.70255,3044.36380057,3044.36380057,3044.36380057
2039,199665.713652,3341.37490307,3341.37490307,3341.37490307
2040,199888.471979,3564.13322994,3564.13322994,3564.13322994
2041,200111.230306,3786.89155681,3786.89155681,3786.89155681
2042,200408.241408,4083.9026593,4083.9026593,4083.9026593
2043,200630.999735,4306.66098618,4306.66098618,4306.66098618
2044,200853.758062,4529.41931305,4529.41931305,4529.41931305
2045,201076.516389,4752.17763992,4752.17763992,4752.17763992
2046,201299.274716,4974.93596679,4974.93596679,4974.93596679
2047,201522.033043,5197.69429366,5197.69429366,5197.69429366
2048,201744.79137,5420.45262053,5420.45262053,5420.45262053
2049,201893.296921,5568.95817178,5568.95817178,5568.95817178
2050,202116.055248,5791.71649865,5791.71649865,5791.71649865
2051,202116.055248,5791.71649865,5791.71649865,5791.71649865
2052,202116.055248,5791.71649865,5791.71649865,5791.71649865
2053,202116.055248,5791.71649865,5791.71649865,5791.71649865
2054,202116.055248,5791.71649865,5791.71649865,5791.71649865
2055,202116.055248,5791.71649865,5791.71649865,5791.71649865
2056,202116.055248,5791.71649865,5791.71649865,5791.71649865
2057,202116.055248,5791.71649865,5791.71649865,5791.71649865
2058,202116.055248,5791.71649865,5791.71649865,5791.71649865
2059,202116.055248,5791.71649865,5791.71649865,5791.71649865
2060,202116.055248,5791.71649865,5791.71649865,5791.71649865
2061,202116.055248,5791.71649865,5791.71649865,5791.71649865
2062,202116.055248,5791.71649865,5791.71649865,5791.71649865
2063,202116.055248,5791.71649865,5791.71649865,5791.71649865
2064,202116.055248,5791.71649865,5791.71649865,5791.71649865
2065,202116.055248,5791.71649865,5791.71649865,5791.71649865
2066,202116.055248,5791.71649865,5791.71649865,5791.71649865
2067,202116.055248,5791.71649865,5791.71649865,5791.71649865
2068,202116.055248,5791.71649865,5791.71649865,5791.71649865
2069,202116.055248,5791.71649865,5791.71649865,5791.71649865
2070,202116.055248,5791.71649865,5791.71649865,5791.71649865
