year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.56
2004,,2.45,2.56
2005,,3.11,3.05
2009,,3.64,3.43
2010,,3.93,4.06
2011,,4.68,4.92
2012,,5.04,5.39
2013,,5.14,5.34
2014,,5.19,5.34
2016,start of forecast,2.52,3.24
2017,,3.09,3.81
2018,,3.52,4.24
2019,,4.13,4.85
2020,,4.42,5.14
2021,,4.62,5.34
2022,,4.78,5.5
2023,,4.88,5.6
2024,,4.97,5.69
2025,,5.08,5.8
2026,,5.21,5.93
2027,,5.31,6.03
2028,,5.4,6.12
2029,,5.52,6.24
2030,,5.6,6.32
2031,,5.73,6.45
2032,,5.87,6.59
2033,,6.0,6.72
2034,,6.15,6.87
2035,,6.24,6.96
2036,,6.38,7.1
2037,,6.47,7.19
2038,,6.62,7.34
2039,,6.73,7.45
2040,,6.89,7.61
