year,Base case cost,Cold bay waste heat recovery project
2016,,
2017,382690.354128,299031.757803
2018,425887.178605,330706.336776
2019,487166.394724,375802.3533
2020,516299.136813,397061.740005
2021,536390.683082,411622.918124
2022,552463.920097,423211.481867
2023,562509.693231,430336.928761
2024,571550.889052,436724.861924
2025,582601.239499,444610.57415
2026,595660.744574,453993.890495
2027,605706.517708,461148.853542
2028,614747.713529,467565.611072
2029,626802.64129,476224.62941
2030,634839.259797,481909.648245
2031,647898.764872,491326.928017
2032,,
2033,,
2034,,
2035,,
