year,Base case cost,Modeled non-residential energy efficiency
2017,1344502.24267,1225970.56784
2018,1447142.58468,1310072.64022
2019,1592748.65126,1430743.02737
2020,1661971.2075,1486602.09687
2021,1709710.90146,1524282.04678
2022,1747902.65663,1553919.05593
2023,1771772.50361,1571456.42955
2024,1793255.36589,1587030.42129
2025,1819512.19757,1606722.20333
2026,1850542.99864,1630530.30678
2027,1874412.84562,1648315.50329
2028,1895895.70791,1664131.50957
2029,1924539.52428,1686087.19271
2030,1943635.40187,1699988.30533
2031,1974666.20294,1724081.57177
