year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,196027.33,5968.97,100457.73,41941.48
2018,196101.58,5968.11,100457.73,41941.48
2019,196175.83,5967.19,100457.73,41941.48
2020,196250.09,5965.98,100457.73,41941.48
2021,196324.34,5964.49,100457.73,41941.48
2022,196472.84,5962.98,100457.73,40912.36
2023,196547.1,5961.31,100457.73,40912.36
2024,196695.6,5959.62,100457.73,40912.36
2025,196769.86,5957.81,100457.73,40912.36
2026,196918.36,5955.79,100457.73,39883.23
2027,197066.87,5953.49,100457.73,39883.23
2028,197289.62,5950.93,100457.73,39883.23
2029,197438.13,5948.74,100457.73,38854.11
2030,197586.64,5946.26,100457.73,38854.11
2031,197735.14,5943.45,100457.73,37824.98
2032,197957.9,,,37824.98
2033,198254.91,,,36795.86
2034,198477.67,,,36795.86
2035,198700.43,,,35766.73
2036,198923.19,,,35766.73
