year,Base case diesel consumed,Modeled solar power (pv)
2016,196027.327647,193324.080589
2017,196027.327647,193345.706565
2018,196101.580422,193441.412309
2019,196175.833198,193536.94643
2020,196250.085973,193632.3103
2021,196324.338749,193727.505281
2022,196472.8443,193896.7855
2023,196547.097076,193991.646746
2024,196695.602627,194160.5959
2025,196769.855403,194255.128729
2026,196918.360954,194423.752094
2027,197066.866505,194592.214516
2028,197289.624832,194834.770059
2029,197438.130383,195002.914448
2030,197586.635935,195170.901727
2031,197735.141486,195338.733152
2032,197957.899813,195580.662745
2033,198254.910915,195896.691744
2034,198477.669242,196138.315825
2035,198700.427569,196379.788979
