year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,228033.960552,168745.130809
2018,228033.960552,168745.130809
2019,228033.960552,168745.130809
2020,228033.960552,168745.130809
2021,228033.960552,168745.130809
2022,228033.960552,168745.130809
2023,228033.960552,168745.130809
2024,228033.960552,168745.130809
2025,228033.960552,168745.130809
2026,228033.960552,168745.130809
2027,228033.960552,168745.130809
2028,228033.960552,168745.130809
2029,228033.960552,168745.130809
2030,228033.960552,168745.130809
2031,228033.960552,168745.130809
