year,Base case diesel consumed,Modeled wind power
2019,300877.306861,249054.891079
2020,301166.334053,249343.918271
2021,301310.847649,249488.431867
2022,301238.590851,249416.175069
2023,301021.820457,249199.404675
2024,300588.279669,248765.863887
2025,300082.482083,248260.066301
2026,299504.427699,247682.011917
2027,298926.373315,247103.957533
2028,298276.062133,246453.646351
2029,297047.696567,245225.280785
2030,295891.587799,244069.172017
2031,294735.479031,242913.063249
2032,293796.140657,241973.724875
2033,292856.802283,241034.386501
2034,291845.207111,240022.791329
2035,290616.841545,238794.425763
2036,289316.219181,237493.803399
2037,287798.826423,235976.410641
2038,286281.433665,234459.017883
