year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.49
2001,,,2.59
2004,,1.42,2.86
2005,,1.82,3.97
2006,,2.29,4.83
2008,,3.64,5.6
2009,,3.79,6.3
2010,,4.84,6.3
2011,,3.09,6.49
2012,,4.11,7.47
2013,,4.6,7.36
2014,,,7.46
2016,,3.21,4.76
2017,,3.71,5.26
2018,,4.07,5.62
2019,,4.55,6.1
2020,,4.78,6.33
2021,,4.93,6.48
2022,,5.05,6.6
2023,,5.13,6.68
2024,,5.19,6.74
2025,,5.27,6.82
2026,,5.36,6.91
2027,,5.44,6.99
2028,,5.51,7.06
2029,,5.6,7.15
2030,,5.65,7.2
2031,,5.75,7.3
2032,,5.84,7.39
2033,,5.94,7.49
2034,,6.04,7.59
2035,,6.1,7.65
2036,,6.2,7.75
2037,,6.26,7.81
2038,,6.37,7.92
2039,,6.44,7.99
2040,,6.55,8.1
