year,Base case diesel consumed,Modeled solar power
2020,191753.487247,189217.169781
2021,191821.436746,189305.40982
2022,191821.436746,189325.538036
2023,191821.436746,189345.505225
2024,191821.436746,189365.312677
2025,191821.436746,189384.96167
2026,191821.436746,189404.453471
2027,191889.386245,189491.738836
2028,191889.386245,189510.920015
2029,191957.335745,189597.897245
2030,191957.335745,189616.772753
2031,191957.335745,189635.497257
2032,192025.285244,189722.021464
2033,192093.234744,189808.397074
2034,192093.234744,189826.675775
2035,192093.234744,189844.808247
2036,192093.234744,189862.795659
2037,192093.234744,189880.639171
2038,192093.234744,189898.339936
2039,192093.234744,189915.899094
