year,Base case cost,Modeled solar power
2020,916581.669039,934712.750969
2021,945679.683158,962893.917976
2022,968698.255568,985090.842694
2023,984043.970507,999732.651257
2024,995553.256712,1010603.87606
2025,1010898.97165,1025278.36738
2026,1028162.90096,1041862.89862
2027,1043878.26118,1056938.8664
2028,1057310.51821,1069770.81156
2029,1074961.08017,1086788.45091
2030,1084558.94696,1095862.02549
2031,1103754.68053,1114430.55794
2032,1121427.66583,1131514.11355
2033,1141033.81438,1150522.03724
2034,1160243.13785,1169147.24895
2035,1171768.73194,1180192.47813
2036,1190978.05541,1198844.29331
2037,1202503.64949,1209914.11173
2038,1223633.90532,1230490.37608
2039,1237080.43175,1243483.02874
