year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,180577.86322,133627.618782
2018,180577.86322,133627.618782
2019,180577.86322,133627.618782
2020,180577.86322,133627.618782
2021,180577.86322,133627.618782
2022,180577.86322,133627.618782
2023,180577.86322,133627.618782
2024,180577.86322,133627.618782
2025,180577.86322,133627.618782
2026,180577.86322,133627.618782
2027,180577.86322,133627.618782
2028,180577.86322,133627.618782
2029,180577.86322,133627.618782
2030,180577.86322,133627.618782
2031,180577.86322,133627.618782
