year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,3139744.56,5113.74,180577.86,85164.94
2018,3138801.49,5163.82,180577.86,86204.48
2019,3137785.89,5219.11,180577.86,87244.03
2020,3136842.83,5269.88,180577.86,88283.57
2021,3135029.25,5364.12,180577.86,90362.66
2022,3134158.73,5412.14,180577.86,91402.21
2023,3133288.21,5457.79,180577.86,92441.75
2024,3131909.89,5531.15,180577.86,93481.3
2025,3130749.19,5589.4,180577.86,95560.38
2026,3129733.59,5643.89,180577.86,96599.93
2027,3128645.44,5700.14,180577.86,97639.47
2028,3127484.75,5765.26,180577.86,98679.02
2029,3126469.14,5818.91,180577.86,99718.56
2030,3125308.45,5876.84,180577.86,100758.11
2031,3124510.47,5922.29,180577.86,101797.65
2032,3123349.78,,,102837.2
2033,3122261.63,,,103876.74
2034,3121246.03,,,105955.83
2035,3120085.33,,,106995.37
2036,3118489.38,,,108034.92
