year,Base case cost,"Valdez, tatitlek (indian creek)",Cordova (silver lake)
2021,165791.372568,686087.269868,37365088.2532
2022,171418.755971,687079.241726,37360515.9345
2023,175314.636789,687765.991473,37357350.4832
2024,178344.766314,688300.130166,37354888.4655
2025,182240.647131,688986.879914,37351723.0141
2026,186569.403595,689749.935189,37348205.846
2027,190465.284413,690436.684937,37345040.3946
2028,193928.289584,691047.129157,37342226.6601
2029,197878.692906,691431.831291,37338331.1388
2030,200470.990193,691884.707865,37336215.8813
2031,205223.53522,692714.981584,37332337.9092
2032,209976.080246,693545.255302,37328459.9372
2033,215160.67482,694451.00845,37324229.4222
2034,219913.219846,695281.282168,37320351.4501
2035,223369.616228,695885.1176,37317531.1068
2036,228554.210802,696790.870748,37313300.5918
2037,231135.768808,696876.437921,37310390.0026
2038,236741.673649,697846.931217,37305796.2054
2039,240622.684692,698518.81119,37302615.8843
2040,246228.589532,699489.304486,37298022.0871
2041,246228.589532,699489.304486,37298022.0871
2042,246228.589532,699489.304486,37298022.0871
2043,246228.589532,699489.304486,37298022.0871
2044,245756.887254,699017.602207,37297550.3848
2045,245756.887254,699017.602207,37297550.3848
2046,245756.887254,699017.602207,37297550.3848
2047,245756.887254,699017.602207,37297550.3848
2048,245756.887254,699017.602207,37297550.3848
2049,245756.887254,699017.602207,37297550.3848
2050,245756.887254,699017.602207,37297550.3848
