year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,6470.14,490268.0,490268.0
2004,,6470.14,475700.0,475700.0
2005,,6470.14,474726.0,474726.0
2006,,6470.14,478676.0,478676.0
2007,,6470.14,479414.0,479414.0
2008,,6470.14,438200.0,438200.0
2009,,6470.14,434134.0,434134.0
2010,,6470.14,509800.0,509800.0
2011,,6470.14,516300.0,516300.0
2012,,6470.14,528700.0,528700.0
2013,,6470.14,508802.0,508802.0
2014,start of forecast,6470.14,523000.0,523000.0
2015,,6470.14,523000.0,523000.0
2016,,6470.14,524000.0,524000.0
2017,,6470.14,524000.0,524000.0
2018,,6470.14,524000.0,524000.0
2019,,6470.14,524000.0,524000.0
2020,,6470.14,524000.0,524000.0
2021,,6470.14,524000.0,524000.0
2022,,6470.14,524000.0,524000.0
2023,,6470.14,524000.0,524000.0
2024,,6470.14,524000.0,524000.0
2025,,6470.14,524000.0,524000.0
2026,,6470.14,524000.0,524000.0
2027,,6470.14,524000.0,524000.0
2028,,6470.14,524000.0,524000.0
2029,,6470.14,523000.0,523000.0
2030,,6470.14,523000.0,523000.0
2031,,6470.14,523000.0,523000.0
2032,,6470.14,523000.0,523000.0
2033,,6470.14,523000.0,523000.0
2034,,6470.14,523000.0,523000.0
2035,,6470.14,523000.0,523000.0
2036,,6470.14,523000.0,523000.0
2037,,6470.14,522000.0,522000.0
2038,,6470.14,522000.0,522000.0
2039,,6470.14,522000.0,522000.0
2040,,6470.14,522000.0,522000.0
