year,Base case cost,Modeled biomass for heat (cordwood)
2017,123543.774923,138817.699243
2018,136205.694923,148180.138814
2019,153791.694923,161183.527106
2020,162584.694923,167685.221252
2021,168212.214923,171846.305506
2022,172784.574923,175227.186462
2023,175950.054923,177567.796354
2024,178412.094923,179388.270715
2025,181577.574923,181728.880608
2026,185094.774923,184329.558266
2027,188260.254923,186670.168159
2028,191074.014923,188750.710285
2029,194591.214923,191351.387944
2030,196701.534923,192911.794539
2031,200570.454923,195772.539963
2032,,
2033,,
2034,,
2035,,
2036,,
