year,Base case diesel consumed,"Valdez, tatitlek (indian creek)",Cordova (silver lake)
2021,43287.5646392,9190.99498759,0.0
2022,43287.5646392,9190.99498759,0.0
2023,43287.5646392,9190.99498759,0.0
2024,43287.5646392,9190.99498759,0.0
2025,43287.5646392,9190.99498759,0.0
2026,43287.5646392,9190.99498759,0.0
2027,43287.5646392,9190.99498759,0.0
2028,43287.5646392,9190.99498759,0.0
2029,43204.9547831,9108.38513141,0.0
2030,43204.9547831,9108.38513141,0.0
2031,43204.9547831,9108.38513141,0.0
2032,43204.9547831,9108.38513141,0.0
2033,43204.9547831,9108.38513141,0.0
2034,43204.9547831,9108.38513141,0.0
2035,43204.9547831,9108.38513141,0.0
2036,43204.9547831,9108.38513141,0.0
2037,43122.3449269,9025.77527523,0.0
2038,43122.3449269,9025.77527523,0.0
2039,43122.3449269,9025.77527523,0.0
2040,43122.3449269,9025.77527523,0.0
2041,43122.3449269,9025.77527523,0.0
2042,43122.3449269,9025.77527523,0.0
2043,43122.3449269,9025.77527523,0.0
2044,43039.7350707,8943.16541905,0.0
2045,43039.7350707,8943.16541905,0.0
2046,43039.7350707,8943.16541905,0.0
2047,43039.7350707,8943.16541905,0.0
2048,43039.7350707,8943.16541905,0.0
2049,43039.7350707,8943.16541905,0.0
2050,43039.7350707,8943.16541905,0.0
