year,Base case diesel consumed,Modeled solar power (pv)
2016,43287.5646392,42753.0669875
2017,43287.5646392,42757.3429687
2018,43287.5646392,42761.5847421
2019,43287.5646392,42765.7925813
2020,43287.5646392,42769.9667577
2021,43287.5646392,42774.1075408
2022,43287.5646392,42778.2151976
2023,43287.5646392,42782.2899931
2024,43287.5646392,42786.3321903
2025,43287.5646392,42790.3420499
2026,43287.5646392,42794.3198306
2027,43287.5646392,42798.265789
2028,43287.5646392,42802.1801798
2029,43204.9547831,42723.4533993
2030,43204.9547831,42727.3054104
2031,43204.9547831,42731.1266054
2032,43204.9547831,42734.9172308
2033,43204.9547831,42738.6775312
2034,43204.9547831,42742.4077492
2035,43204.9547831,42746.1081255
